,fix_id,stat,local,team_id,team_name,logo,value
1,814411,form,away,2618,Botafogo SP,https://media.api-sports.io/football/teams/2618.png,53.0
2,814411,att,home,794,RB Bragantino,https://media.api-sports.io/football/teams/794.png,64.0
3,814411,att,away,2618,Botafogo SP,https://media.api-sports.io/football/teams/2618.png,36.0
4,814411,def,home,794,RB Bragantino,https://media.api-sports.io/football/teams/794.png,50.0
5,814411,def,away,2618,Botafogo SP,https://media.api-sports.io/football/teams/2618.png,50.0
6,814411,poisson_distribution,home,794,RB Bragantino,https://media.api-sports.io/football/teams/794.png,61.0
7,814411,poisson_distribution,away,2618,Botafogo SP,https://media.api-sports.io/football/teams/2618.png,39.0
8,814411,h2h,home,794,RB Bragantino,https://media.api-sports.io/football/teams/794.png,75.0
9,814411,h2h,away,2618,Botafogo SP,https://media.api-sports.io/football/teams/2618.png,25.0
10,814411,goals,home,794,RB Bragantino,https://media.api-sports.io/football/teams/794.png,64.0
11,814411,goals,away,2618,Botafogo SP,https://media.api-sports.io/football/teams/2618.png,36.0
12,814411,total,home,794,RB Bragantino,https://media.api-sports.io/football/teams/794.png,60.2
13,814411,total,away,2618,Botafogo SP,https://media.api-sports.io/football/teams/2618.png,39.8
0,814412,form,home,7865,São Bernardo,https://media.api-sports.io/football/teams/7865.png,47.0
1,814412,form,away,7848,Mirassol,https://media.api-sports.io/football/teams/7848.png,53.0
2,814412,att,home,7865,São Bernardo,https://media.api-sports.io/football/teams/7865.png,25.0
3,814412,att,away,7848,Mirassol,https://media.api-sports.io/football/teams/7848.png,75.0
4,814412,def,home,7865,São Bernardo,https://media.api-sports.io/football/teams/7865.png,62.0
5,814412,def,away,7848,Mirassol,https://media.api-sports.io/football/teams/7848.png,38.0
6,814412,poisson_distribution,home,7865,São Bernardo,https://media.api-sports.io/football/teams/7865.png,79.0
7,814412,poisson_distribution,away,7848,Mirassol,https://media.api-sports.io/football/teams/7848.png,21.0
8,814412,h2h,home,7865,São Bernardo,https://media.api-sports.io/football/teams/7865.png,0.0
9,814412,h2h,away,7848,Mirassol,https://media.api-sports.io/football/teams/7848.png,0.0
10,814412,goals,home,7865,São Bernardo,https://media.api-sports.io/football/teams/7865.png,0.0
11,814412,goals,away,7848,Mirassol,https://media.api-sports.io/football/teams/7848.png,0.0
12,814412,total,home,7865,São Bernardo,https://media.api-sports.io/football/teams/7865.png,53.3
13,814412,total,away,7848,Mirassol,https://media.api-sports.io/football/teams/7848.png,46.8
0,814413,form,home,126,Sao Paulo,https://media.api-sports.io/football/teams/126.png,50.0
1,814413,form,away,131,Corinthians,https://media.api-sports.io/football/teams/131.png,50.0
2,814413,att,home,126,Sao Paulo,https://media.api-sports.io/football/teams/126.png,44.0
3,814413,att,away,131,Corinthians,https://media.api-sports.io/football/teams/131.png,56.0
4,814413,def,home,126,Sao Paulo,https://media.api-sports.io/football/teams/126.png,67.0
5,814413,def,away,131,Corinthians,https://media.api-sports.io/football/teams/131.png,33.0
6,814413,poisson_distribution,home,126,Sao Paulo,https://media.api-sports.io/football/teams/126.png,100.0
7,814413,poisson_distribution,away,131,Corinthians,https://media.api-sports.io/football/teams/131.png,0.0
8,814413,h2h,home,126,Sao Paulo,https://media.api-sports.io/football/teams/126.png,62.0
9,814413,h2h,away,131,Corinthians,https://media.api-sports.io/football/teams/131.png,38.0
10,814413,goals,home,126,Sao Paulo,https://media.api-sports.io/football/teams/126.png,56.0
11,814413,goals,away,131,Corinthians,https://media.api-sports.io/football/teams/131.png,44.0
12,814413,total,home,126,Sao Paulo,https://media.api-sports.io/football/teams/126.png,55.8
13,814413,total,away,131,Corinthians,https://media.api-sports.io/football/teams/131.png,44.2
