,fix_id,stat,local,team_id,team_name,logo,value
11,731858,goals,away,514,Salernitana,https://media.api-sports.io/football/teams/514.png,0.0
12,731858,total,home,505,Inter,https://media.api-sports.io/football/teams/505.png,60.5
13,731858,total,away,514,Salernitana,https://media.api-sports.io/football/teams/514.png,39.8
0,731859,form,home,496,Juventus,https://media.api-sports.io/football/teams/496.png,69.0
1,731859,form,away,515,Spezia,https://media.api-sports.io/football/teams/515.png,31.0
2,731859,att,home,496,Juventus,https://media.api-sports.io/football/teams/496.png,58.0
3,731859,att,away,515,Spezia,https://media.api-sports.io/football/teams/515.png,42.0
4,731859,def,home,496,Juventus,https://media.api-sports.io/football/teams/496.png,64.0
5,731859,def,away,515,Spezia,https://media.api-sports.io/football/teams/515.png,36.0
6,731859,poisson_distribution,home,496,Juventus,https://media.api-sports.io/football/teams/496.png,78.0
7,731859,poisson_distribution,away,515,Spezia,https://media.api-sports.io/football/teams/515.png,22.0
8,731859,h2h,home,496,Juventus,https://media.api-sports.io/football/teams/496.png,100.0
9,731859,h2h,away,515,Spezia,https://media.api-sports.io/football/teams/515.png,0.0
10,731859,goals,home,496,Juventus,https://media.api-sports.io/football/teams/496.png,77.0
11,731859,goals,away,515,Spezia,https://media.api-sports.io/football/teams/515.png,23.0
12,731859,total,home,496,Juventus,https://media.api-sports.io/football/teams/496.png,69.2
13,731859,total,away,515,Spezia,https://media.api-sports.io/football/teams/515.png,30.8
0,731860,form,home,492,Napoli,https://media.api-sports.io/football/teams/492.png,55.0
1,731860,form,away,489,AC Milan,https://media.api-sports.io/football/teams/489.png,45.0
2,731860,att,home,492,Napoli,https://media.api-sports.io/football/teams/492.png,63.0
3,731860,att,away,489,AC Milan,https://media.api-sports.io/football/teams/489.png,38.0
4,731860,def,home,492,Napoli,https://media.api-sports.io/football/teams/492.png,50.0
5,731860,def,away,489,AC Milan,https://media.api-sports.io/football/teams/489.png,50.0
6,731860,poisson_distribution,home,492,Napoli,https://media.api-sports.io/football/teams/492.png,56.0
7,731860,poisson_distribution,away,489,AC Milan,https://media.api-sports.io/football/teams/489.png,44.0
8,731860,h2h,home,492,Napoli,https://media.api-sports.io/football/teams/492.png,62.0
9,731860,h2h,away,489,AC Milan,https://media.api-sports.io/football/teams/489.png,38.0
10,731860,goals,home,492,Napoli,https://media.api-sports.io/football/teams/492.png,50.0
11,731860,goals,away,489,AC Milan,https://media.api-sports.io/football/teams/489.png,50.0
12,731860,total,home,492,Napoli,https://media.api-sports.io/football/teams/492.png,56.0
13,731860,total,away,489,AC Milan,https://media.api-sports.io/football/teams/489.png,44.2
0,731861,form,home,497,AS Roma,https://media.api-sports.io/football/teams/497.png,64.0
1,731861,form,away,499,Atalanta,https://media.api-sports.io/football/teams/499.png,36.0
2,731861,att,home,497,AS Roma,https://media.api-sports.io/football/teams/497.png,60.0
3,731861,att,away,499,Atalanta,https://media.api-sports.io/football/teams/499.png,40.0
4,731861,def,home,497,AS Roma,https://media.api-sports.io/football/teams/497.png,40.0
5,731861,def,away,499,Atalanta,https://media.api-sports.io/football/teams/499.png,60.0
6,731861,poisson_distribution,home,497,AS Roma,https://media.api-sports.io/football/teams/497.png,36.0
7,731861,poisson_distribution,away,499,Atalanta,https://media.api-sports.io/football/teams/499.png,64.0
8,731861,h2h,home,497,AS Roma,https://media.api-sports.io/football/teams/497.png,29.0
9,731861,h2h,away,499,Atalanta,https://media.api-sports.io/football/teams/499.png,71.0
10,731861,goals,home,497,AS Roma,https://media.api-sports.io/football/teams/497.png,41.0
11,731861,goals,away,499,Atalanta,https://media.api-sports.io/football/teams/499.png,59.0
12,731861,total,home,497,AS Roma,https://media.api-sports.io/football/teams/497.png,45.0
13,731861,total,away,499,Atalanta,https://media.api-sports.io/football/teams/499.png,55.0
0,731862,form,home,494,Udinese,https://media.api-sports.io/football/teams/494.png,50.0
1,731862,form,away,498,Sampdoria,https://media.api-sports.io/football/teams/498.png,50.0
2,731862,att,home,494,Udinese,https://media.api-sports.io/football/teams/494.png,40.0
3,731862,att,away,498,Sampdoria,https://media.api-sports.io/football/teams/498.png,60.0
4,731862,def,home,494,Udinese,https://media.api-sports.io/football/teams/494.png,50.0
5,731862,def,away,498,Sampdoria,https://media.api-sports.io/football/teams/498.png,50.0
6,731862,poisson_distribution,home,494,Udinese,https://media.api-sports.io/football/teams/494.png,59.0
7,731862,poisson_distribution,away,498,Sampdoria,https://media.api-sports.io/football/teams/498.png,41.0
8,731862,h2h,home,494,Udinese,https://media.api-sports.io/football/teams/494.png,7.0
9,731862,h2h,away,498,Sampdoria,https://media.api-sports.io/football/teams/498.png,93.0
10,731862,goals,home,494,Udinese,https://media.api-sports.io/football/teams/494.png,35.0
11,731862,goals,away,498,Sampdoria,https://media.api-sports.io/football/teams/498.png,65.0
12,731862,total,home,494,Udinese,https://media.api-sports.io/football/teams/494.png,40.2
13,731862,total,away,498,Sampdoria,https://media.api-sports.io/football/teams/498.png,59.8
0,731863,form,home,517,Venezia,https://media.api-sports.io/football/teams/517.png,33.0
1,731863,form,away,488,Sassuolo,https://media.api-sports.io/football/teams/488.png,67.0
2,731863,att,home,517,Venezia,https://media.api-sports.io/football/teams/517.png,42.0
3,731863,att,away,488,Sassuolo,https://media.api-sports.io/football/teams/488.png,58.0
4,731863,def,home,517,Venezia,https://media.api-sports.io/football/teams/517.png,47.0
5,731863,def,away,488,Sassuolo,https://media.api-sports.io/football/teams/488.png,53.0
6,731863,poisson_distribution,home,517,Venezia,https://media.api-sports.io/football/teams/517.png,32.0
7,731863,poisson_distribution,away,488,Sassuolo,https://media.api-sports.io/football/teams/488.png,68.0
8,731863,h2h,home,517,Venezia,https://media.api-sports.io/football/teams/517.png,0.0
9,731863,h2h,away,488,Sassuolo,https://media.api-sports.io/football/teams/488.png,100.0
10,731863,goals,home,517,Venezia,https://media.api-sports.io/football/teams/517.png,25.0
11,731863,goals,away,488,Sassuolo,https://media.api-sports.io/football/teams/488.png,75.0
12,731863,total,home,517,Venezia,https://media.api-sports.io/football/teams/517.png,35.8
13,731863,total,away,488,Sassuolo,https://media.api-sports.io/football/teams/488.png,64.2
