idPlayer,nomePlayer,team_id,team_name,atleta_id,nome,apelido,foto,clube_nome,escudos_foto
56955,Guilherme Parede,1019,Juventude,83438.0,Guilherme Parede Pinheiro,Guilherme Parede,https://s.glbimg.com/es/sde/f/2022/03/03/fc970f8486208ea64d2857c89a9ea781_140x140.png,Juventude,https://s.glbimg.com/es/sde/f/organizacoes/2021/04/29/juventude65.png
26917,Ricardo Bueno,1019,Juventude,69141.0,Ricardo Bueno da Silva,Ricardo Bueno,https://s.glbimg.com/es/sde/f/2022/03/03/5a5fd135b7af74db9adec269ad234d5b_140x140.png,Juventude,https://s.glbimg.com/es/sde/f/organizacoes/2021/04/29/juventude65.png
66794,Danilo Boza,1019,Juventude,101431.0,Danilo Boza Júnior,Danilo Boza,https://s.glbimg.com/es/sde/f/2022/03/03/62579e6ec2e76ca7456f995e993ae22d_140x140.png,Juventude,https://s.glbimg.com/es/sde/f/organizacoes/2021/04/29/juventude65.png
42727,Rafael Forster,1019,Juventude,82764.0,Rafael Forster,Rafael Forster,https://s.glbimg.com/es/sde/f/2022/03/03/1a3eff81c014dfeadd31543510923abd_140x140.png,Juventude,https://s.glbimg.com/es/sde/f/organizacoes/2021/04/29/juventude65.png
18235,William Matheus,1019,Juventude,62130.0,William Matheus da Silva,William Matheus,https://s.glbimg.com/es/sde/f/2022/03/03/88174fca01439ff40caf28ad081a8fa6_140x140.png,Juventude,https://s.glbimg.com/es/sde/f/organizacoes/2021/04/29/juventude65.png
56928,Rodrigo Soares,1019,Juventude,86675.0,Rodrigo Alves Soares,Rodrigo Soares,https://s.glbimg.com/es/sde/f/2022/03/03/9c3587675488eeeb0991d8754b8cee2b_140x140.png,Juventude,https://s.glbimg.com/es/sde/f/organizacoes/2021/04/29/juventude65.png
52418,Capixaba,1019,Juventude,94894.0,João Victor da Vitória Fernandes,Capixaba,https://s.glbimg.com/es/sde/f/2022/03/03/9bdded7e0046ad8500605256f741994b_140x140.png,Juventude,https://s.glbimg.com/es/sde/f/organizacoes/2021/04/29/juventude65.png
75610,Willian,1019,Juventude,42116.0,Willian Gomes de Siqueira,Willian,https://s.glbimg.com/es/sde/f/2022/02/24/79c62366edb8a36ed104c73a2f413a3e_140x140.png,Fluminense,https://s.glbimg.com/es/sde/f/organizacoes/2014/04/14/fluminense_60x60.png
75610,Willian,1019,Juventude,42135.0,Willian Borges da Silva,Willian,https://s.glbimg.com/es/sde/f/2021/09/09/58cf865acea9ec10e49e06337c7e7d4d_140x140.png,Corinthians,https://s.glbimg.com/es/sde/f/organizacoes/2019/09/30/Corinthians_65.png
42656,Chico,1019,Juventude,82407.0,Francisco Hyun Sol Kim,Chico,https://s.glbimg.com/es/sde/f/2022/03/03/bf75c9042be591192c025ebc1a87b001_140x140.png,Juventude,https://s.glbimg.com/es/sde/f/organizacoes/2021/04/29/juventude65.png
