idPlayer,nomePlayer,team_id,team_name,scout,atleta_id,rodada_id,clube_id,posicao_id,status_id,pontos_num,preco_num,variacao_num,media_num,jogos_num,minimo_para_valorizar,slug,apelido,apelido_abreviado,nome,foto,clube_nome
35613,Gabriel,1005,Flamengo,"{'CA': 2, 'DS': 3, 'FC': 3, 'FD': 3, 'FF': 5, 'FS': 7, 'G': 2, 'I': 7, 'PI': 28}",83257.0,8.0,262,5.0,3.0,0.0,11.33,1.37,3.47,7.0,6.66,gabriel,Gabriel,Gabriel,Gabriel Barbosa Almeida,https://s.glbimg.com/es/sde/f/2022/04/25/8ce4db9e01696fbbc278bb084f675352_FORMATO.png,Flamengo
31960,David Luiz,1005,Flamengo,"{'CA': 2, 'DS': 8, 'FC': 9, 'FD': 2, 'FF': 1, 'I': 1, 'PI': 20}",52827.0,8.0,262,3.0,2.0,0.0,4.89,-0.34,1.2,5.0,0.5,david-luiz,David Luiz,D. Luiz,David Luiz Moreira Marinho,https://s.glbimg.com/es/sde/f/2022/04/25/b04aadac11e76e4bd69df5b191e13d3c_FORMATO.png,Flamengo
72273,Léo Pereira,1005,Flamengo,"{'DS': 3, 'FC': 5, 'PI': 20}",83528.0,8.0,262,3.0,6.0,0.0,2.96,0.0,0.05,2.0,0.56,leo-pereira,Léo Pereira,L. Pereira,Leonardo Pereira,https://s.glbimg.com/es/sde/f/2022/03/04/f8401115c5ce6574f1f6fb8e8cfccee6_FORMATO.png,Flamengo
50746,Thiago Maia,1005,Flamengo,"{'DS': 8, 'FC': 2, 'FF': 1, 'PI': 17}",89637.0,8.0,262,4.0,6.0,0.0,4.61,0.0,1.62,5.0,1.27,thiago-maia,Thiago Maia,T. Maia,Thiago Maia Alencar,https://s.glbimg.com/es/sde/f/2022/03/04/8521ed98cc386179ae382597fba59056_FORMATO.png,Flamengo
38481,Willian Arão,1005,Flamengo,"{'DS': 9, 'FC': 6, 'FD': 1, 'FF': 2, 'FS': 4, 'FT': 1, 'G': 2, 'PI': 30}",78478.0,8.0,262,4.0,7.0,0.0,7.07,0.74,4.26,7.0,2.61,willian-arao,Willian Arão,W. Arão,Willian Souza Arão da Silva,https://s.glbimg.com/es/sde/f/2022/04/25/de6583b845572b4fd501530503901c3a_FORMATO.png,Flamengo
71759,Matheuzinho,1005,Flamengo,"{'A': 1, 'CA': 1, 'DS': 15, 'FC': 5, 'FF': 1, 'FS': 1, 'PI': 21, 'SG': 1}",101727.0,8.0,262,2.0,7.0,0.0,6.77,-1.92,6.17,4.0,1.63,matheuzinho,Matheuzinho,Matheuzinho,Matheus França Silva,https://s.glbimg.com/es/sde/f/2022/04/25/f8b82a43e5e935dc7a17f7f142575c55_FORMATO.png,Flamengo
80816,Gomes,1005,Flamengo,"{'A': 1, 'CA': 1, 'DS': 21, 'FC': 11, 'FD': 1, 'FS': 17, 'PI': 16}",107109.0,8.0,262,4.0,2.0,0.0,11.5,0.0,5.67,6.0,2.89,gomes,Gomes,Gomes,João Victor Gomes da Silva,https://s.glbimg.com/es/sde/f/2022/04/25/292ab6b7a59ffca1fbdc8fa86227fde5_FORMATO.png,Flamengo
56675,Bruno Henrique,1005,Flamengo,"{'CA': 2, 'DS': 12, 'FC': 6, 'FD': 6, 'FF': 4, 'FS': 12, 'G': 1, 'I': 5, 'PI': 30}",90285.0,8.0,262,5.0,7.0,0.0,15.25,-0.4,6.3,5.0,3.32,bruno-henrique,Bruno Henrique,B. Henrique,Bruno Henrique Pinto,https://s.glbimg.com/es/sde/f/2022/04/25/b3a232f9392817871f70ab3b32069e30_FORMATO.png,Flamengo
44098,Arrascaeta,1005,Flamengo,"{'A': 3, 'DS': 22, 'FC': 4, 'FD': 4, 'FF': 6, 'FS': 22, 'FT': 1, 'G': 1, 'I': 2, 'PI': 81}",87863.0,8.0,262,4.0,6.0,0.0,19.33,-0.42,9.07,7.0,3.74,arrascaeta,Arrascaeta,Arrascaeta,Giorgian Daniel de Arrascaeta Benedetti,https://s.glbimg.com/es/sde/f/2022/04/25/cc92618f5866aefc097fc6f6ad12eef6_FORMATO.png,Flamengo
54066,Andreas Pereira,1005,Flamengo,"{'A': 1, 'CA': 2, 'DS': 5, 'FC': 10, 'FD': 1, 'FF': 5, 'FS': 3, 'G': 1, 'PI': 32}",89274.0,8.0,262,4.0,7.0,0.0,7.25,2.92,2.5,7.0,9.08,andreas-pereira,Andreas Pereira,A. Pereira,Andreas Hugo Hoelgebaum Pereira,https://s.glbimg.com/es/sde/f/2022/04/25/f1b80901d66489365ffcdbed4c29a086_FORMATO.png,Flamengo
72369,Hugo Souza,1005,Flamengo,"{'CA': 1, 'DE': 16, 'DS': 2, 'GS': 7, 'SG': 1}",101574.0,8.0,262,1.0,7.0,0.0,4.83,0.41,2.2,7.0,3.63,hugo-souza,Hugo Souza,H. Souza,Hugo de Souza Nogueira,https://s.glbimg.com/es/sde/f/2022/03/04/f29cb0d7b60a53cf87b5131d4fcf8d45_FORMATO.png,Flamengo
17250,Everton Ribeiro,1005,Flamengo,"{'DS': 15, 'FC': 9, 'FD': 4, 'FF': 3, 'FS': 18, 'I': 1, 'PI': 48}",51772.0,8.0,262,4.0,7.0,0.0,7.45,-0.11,3.8,7.0,2.09,everton-ribeiro,Everton Ribeiro,E. Ribeiro,Everton Augusto de Barros Ribeiro,https://s.glbimg.com/es/sde/f/2022/04/25/e994fa1ddcbf61530f2598311908c471_FORMATO.png,Flamengo
84653,Lázaro,1005,Flamengo,"{'A': 1, 'CA': 1, 'DS': 3, 'FC': 6, 'FD': 3, 'FF': 1, 'FS': 5, 'PI': 17}",110193.0,8.0,262,4.0,6.0,0.0,3.84,-0.37,1.57,7.0,-0.39,lazaro,Lázaro,Lázaro,Lázaro Vinicius Marques,https://s.glbimg.com/es/sde/f/2022/03/04/611390db130106197502612466f42273_FORMATO.png,Flamengo
55821,Pedro,1005,Flamengo,"{'DS': 3, 'FC': 3, 'FD': 1, 'FF': 4, 'FS': 4, 'FT': 1, 'G': 1, 'I': 1, 'PI': 8}",94583.0,8.0,262,5.0,7.0,0.0,8.05,-1.28,3.84,5.0,1.41,pedro,Pedro,Pedro,Pedro Guilherme Abreu dos Santos,https://s.glbimg.com/es/sde/f/2022/04/25/ee38c717eeb351fd94e1dfdd699c2e26_FORMATO.png,Flamengo
24133,Diego,1005,Flamengo,"{'DS': 2, 'FD': 1, 'FS': 1, 'PI': 1}",38909.0,8.0,262,4.0,6.0,0.0,4.02,0.0,2.0,2.0,2.97,diego,Diego,Diego,Diego Ribas da Cunha,https://s.glbimg.com/es/sde/f/2022/04/25/a4a5d6ac853b270c7af13df3bcc44ee5_FORMATO.png,Flamengo
66174,Allan,1009,Atlético-MG,"{'CA': 1, 'DS': 10, 'FC': 9, 'FD': 3, 'FF': 2, 'FS': 3, 'PC': 1, 'PI': 36}",96652.0,8.0,282,4.0,7.0,0.0,4.74,0.0,2.08,5.0,3.74,allan,Allan,Allan,Allan Rodrigues de Souza,https://s.glbimg.com/es/sde/f/2021/05/02/171f1af3a958ad9639f2d72e0825ec35_FORMATO.png,Atlético-MG
22061,Eduardo Sasha,1009,Atlético-MG,"{'DS': 3, 'FC': 3, 'FD': 2, 'FF': 3, 'FS': 5, 'FT': 1, 'G': 1, 'PI': 13}",70360.0,8.0,282,5.0,7.0,0.0,6.91,2.31,3.28,6.0,8.01,eduardo-sasha,Eduardo Sasha,E. Sasha,Eduardo Colcenti Antunes,https://s.glbimg.com/es/sde/f/2021/04/23/c4219f6ceb958aef5f871e8ecf08b6a5_FORMATO.png,Atlético-MG
