atleta_id,nome,apelido,foto,clube_nome,escudos_foto,abreviacao_pos
112367,Thalisson Gabriel Pereira Moreira,Thalisson Gabriel,https://s.glbimg.com/es/sde/f/2022/02/23/b20b6fb1092b7873bd98294c5c3c0a7a_140x140.png,Coritiba,https://s.glbimg.com/es/sde/f/organizacoes/2017/03/29/coritiba65.png,zag
112886,Lucas Henrique Barbosa,Lucas Barbosa,https://s.glbimg.com/es/sde/f/2022/03/03/9fba085c9e9d64ca30ffb16b75fe7013_140x140.png,Santos,https://s.glbimg.com/es/sde/f/organizacoes/2014/04/14/santos_60x60.png,mei
110918,João Pedro de Moura Siembarski,João Pedro,https://s.glbimg.com/es/sde/f/2021/04/14/d9fc669a9a4ad30104cb451d48935be9_140x140.png,Athlético-PR,https://s.glbimg.com/es/sde/f/organizacoes/2019/09/09/Athletico-PR-65x65.png,mei
112734,Daniel dos Santos da Cruz,Daniel Cruz,https://s.glbimg.com/es/sde/f/2022/03/08/835efd13e4af3227f1d634bda41126a0_140x140.png,Athlético-PR,https://s.glbimg.com/es/sde/f/organizacoes/2019/09/09/Athletico-PR-65x65.png,ata
86841,Gabriel Boschilia,Boschilia,https://s.glbimg.com/es/sde/f/2022/04/02/c206be82adb058c6ba1e3bc51d58712d_140x140.png,Internacional,https://s.glbimg.com/es/sde/f/organizacoes/2016/05/03/inter65.png,mei
93834,Keiller da Silva Nunes,Keiller,https://s.glbimg.com/es/sde/f/2022/02/22/d956425748ab5bc7726c1e8337593d78_140x140.png,Internacional,https://s.glbimg.com/es/sde/f/organizacoes/2016/05/03/inter65.png,gol
107370,Daniel Lima de Castro,Daniel,https://s.glbimg.com/es/sde/f/2022/03/08/2aed09d1cca40439c5f09fa5a208003c_140x140.png,Athlético-PR,https://s.glbimg.com/es/sde/f/organizacoes/2019/09/09/Athletico-PR-65x65.png,lat
110251,Gabriel Roberto Pereira,Gabriel Pereira,https://s.glbimg.com/es/sde/f/2022/03/08/7f21f0709f996419a0abebf800f4078d_140x140.png,Athlético-PR,https://s.glbimg.com/es/sde/f/organizacoes/2019/09/09/Athletico-PR-65x65.png,gol
107740,Emerson Fabiano Kerber Júnior,Emerson Júnior,https://s.glbimg.com/es/sde/f/2022/04/02/65dc75cb5a8699174a8884a44bdf09a4_140x140.png,Internacional,https://s.glbimg.com/es/sde/f/organizacoes/2016/05/03/inter65.png,gol
96678,Fabricio Tomás Bustos Sein,Bustos,https://s.glbimg.com/es/sde/f/2022/04/02/931e44ec05fa6257ecdf5e8973318115_140x140.png,Internacional,https://s.glbimg.com/es/sde/f/organizacoes/2016/05/03/inter65.png,lat
