,fix_id,stat,local,team_id,team_name,logo,value
10,710850,goals,home,50,Manchester City,https://media.api-sports.io/football/teams/50.png,80.0
11,710850,goals,away,51,Brighton,https://media.api-sports.io/football/teams/51.png,20.0
12,710850,total,home,50,Manchester City,https://media.api-sports.io/football/teams/50.png,80.6
13,710850,total,away,51,Brighton,https://media.api-sports.io/football/teams/51.png,19.4
0,710851,form,home,34,Newcastle,https://media.api-sports.io/football/teams/34.png,56.0
1,710851,form,away,52,Crystal Palace,https://media.api-sports.io/football/teams/52.png,44.0
2,710851,att,home,34,Newcastle,https://media.api-sports.io/football/teams/34.png,50.0
3,710851,att,away,52,Crystal Palace,https://media.api-sports.io/football/teams/52.png,50.0
4,710851,def,home,34,Newcastle,https://media.api-sports.io/football/teams/34.png,43.0
5,710851,def,away,52,Crystal Palace,https://media.api-sports.io/football/teams/52.png,57.0
6,710851,poisson_distribution,home,34,Newcastle,https://media.api-sports.io/football/teams/34.png,46.0
7,710851,poisson_distribution,away,52,Crystal Palace,https://media.api-sports.io/football/teams/52.png,54.0
8,710851,h2h,home,34,Newcastle,https://media.api-sports.io/football/teams/34.png,50.0
9,710851,h2h,away,52,Crystal Palace,https://media.api-sports.io/football/teams/52.png,50.0
10,710851,goals,home,34,Newcastle,https://media.api-sports.io/football/teams/34.png,56.0
11,710851,goals,away,52,Crystal Palace,https://media.api-sports.io/football/teams/52.png,44.0
12,710851,total,home,34,Newcastle,https://media.api-sports.io/football/teams/34.png,50.2
13,710851,total,away,52,Crystal Palace,https://media.api-sports.io/football/teams/52.png,49.8
0,710852,form,home,71,Norwich,https://media.api-sports.io/football/teams/71.png,9.0
1,710852,form,away,49,Chelsea,https://media.api-sports.io/football/teams/49.png,91.0
2,710852,att,home,71,Norwich,https://media.api-sports.io/football/teams/71.png,27.0
3,710852,att,away,49,Chelsea,https://media.api-sports.io/football/teams/49.png,73.0
4,710852,def,home,71,Norwich,https://media.api-sports.io/football/teams/71.png,13.0
5,710852,def,away,49,Chelsea,https://media.api-sports.io/football/teams/49.png,87.0
6,710852,poisson_distribution,home,71,Norwich,https://media.api-sports.io/football/teams/71.png,8.0
