,fix_id,stat,local,team_id,team_name,logo,value
4,719578,def,home,163,Borussia Monchengladbach,https://media.api-sports.io/football/teams/163.png,53.0
5,719578,def,away,159,Hertha Berlin,https://media.api-sports.io/football/teams/159.png,47.0
6,719578,poisson_distribution,home,163,Borussia Monchengladbach,https://media.api-sports.io/football/teams/163.png,72.0
7,719578,poisson_distribution,away,159,Hertha Berlin,https://media.api-sports.io/football/teams/159.png,28.0
8,719578,h2h,home,163,Borussia Monchengladbach,https://media.api-sports.io/football/teams/163.png,50.0
9,719578,h2h,away,159,Hertha Berlin,https://media.api-sports.io/football/teams/159.png,50.0
10,719578,goals,home,163,Borussia Monchengladbach,https://media.api-sports.io/football/teams/163.png,50.0
11,719578,goals,away,159,Hertha Berlin,https://media.api-sports.io/football/teams/159.png,50.0
12,719578,total,home,163,Borussia Monchengladbach,https://media.api-sports.io/football/teams/163.png,62.5
13,719578,total,away,159,Hertha Berlin,https://media.api-sports.io/football/teams/159.png,37.5
0,719579,form,home,160,SC Freiburg,https://media.api-sports.io/football/teams/160.png,44.0
1,719579,form,away,161,VfL Wolfsburg,https://media.api-sports.io/football/teams/161.png,56.0
2,719579,att,home,160,SC Freiburg,https://media.api-sports.io/football/teams/160.png,41.0
3,719579,att,away,161,VfL Wolfsburg,https://media.api-sports.io/football/teams/161.png,59.0
4,719579,def,home,160,SC Freiburg,https://media.api-sports.io/football/teams/160.png,56.0
5,719579,def,away,161,VfL Wolfsburg,https://media.api-sports.io/football/teams/161.png,44.0
6,719579,poisson_distribution,home,160,SC Freiburg,https://media.api-sports.io/football/teams/160.png,67.0
7,719579,poisson_distribution,away,161,VfL Wolfsburg,https://media.api-sports.io/football/teams/161.png,33.0
8,719579,h2h,home,160,SC Freiburg,https://media.api-sports.io/football/teams/160.png,62.0
9,719579,h2h,away,161,VfL Wolfsburg,https://media.api-sports.io/football/teams/161.png,38.0
10,719579,goals,home,160,SC Freiburg,https://media.api-sports.io/football/teams/160.png,50.0
11,719579,goals,away,161,VfL Wolfsburg,https://media.api-sports.io/football/teams/161.png,50.0
12,719579,total,home,160,SC Freiburg,https://media.api-sports.io/football/teams/160.png,53.3
13,719579,total,away,161,VfL Wolfsburg,https://media.api-sports.io/football/teams/161.png,46.7
0,719580,form,home,167,1899 Hoffenheim,https://media.api-sports.io/football/teams/167.png,55.0
1,719580,form,away,157,Bayern Munich,https://media.api-sports.io/football/teams/157.png,45.0
2,719580,att,home,167,1899 Hoffenheim,https://media.api-sports.io/football/teams/167.png,39.0
3,719580,att,away,157,Bayern Munich,https://media.api-sports.io/football/teams/157.png,61.0
4,719580,def,home,167,1899 Hoffenheim,https://media.api-sports.io/football/teams/167.png,67.0
5,719580,def,away,157,Bayern Munich,https://media.api-sports.io/football/teams/157.png,33.0
6,719580,poisson_distribution,home,167,1899 Hoffenheim,https://media.api-sports.io/football/teams/167.png,38.0
7,719580,poisson_distribution,away,157,Bayern Munich,https://media.api-sports.io/football/teams/157.png,62.0
8,719580,h2h,home,167,1899 Hoffenheim,https://media.api-sports.io/football/teams/167.png,20.0
9,719580,h2h,away,157,Bayern Munich,https://media.api-sports.io/football/teams/157.png,80.0
10,719580,goals,home,167,1899 Hoffenheim,https://media.api-sports.io/football/teams/167.png,30.0
11,719580,goals,away,157,Bayern Munich,https://media.api-sports.io/football/teams/157.png,70.0
12,719580,total,home,167,1899 Hoffenheim,https://media.api-sports.io/football/teams/167.png,41.5
13,719580,total,away,157,Bayern Munich,https://media.api-sports.io/football/teams/157.png,58.5
0,719581,form,home,170,FC Augsburg,https://media.api-sports.io/football/teams/170.png,50.0
1,719581,form,away,164,FSV Mainz 05,https://media.api-sports.io/football/teams/164.png,50.0
2,719581,att,home,170,FC Augsburg,https://media.api-sports.io/football/teams/170.png,47.0
3,719581,att,away,164,FSV Mainz 05,https://media.api-sports.io/football/teams/164.png,53.0
4,719581,def,home,170,FC Augsburg,https://media.api-sports.io/football/teams/170.png,57.0
5,719581,def,away,164,FSV Mainz 05,https://media.api-sports.io/football/teams/164.png,43.0
6,719581,poisson_distribution,home,170,FC Augsburg,https://media.api-sports.io/football/teams/170.png,57.0
7,719581,poisson_distribution,away,164,FSV Mainz 05,https://media.api-sports.io/football/teams/164.png,43.0
8,719581,h2h,home,170,FC Augsburg,https://media.api-sports.io/football/teams/170.png,80.0
9,719581,h2h,away,164,FSV Mainz 05,https://media.api-sports.io/football/teams/164.png,20.0
10,719581,goals,home,170,FC Augsburg,https://media.api-sports.io/football/teams/170.png,57.0
11,719581,goals,away,164,FSV Mainz 05,https://media.api-sports.io/football/teams/164.png,43.0
12,719581,total,home,170,FC Augsburg,https://media.api-sports.io/football/teams/170.png,58.0
13,719581,total,away,164,FSV Mainz 05,https://media.api-sports.io/football/teams/164.png,42.0
0,719582,form,home,178,SpVgg Greuther Furth,https://media.api-sports.io/football/teams/178.png,29.0
1,719582,form,away,173,RB Leipzig,https://media.api-sports.io/football/teams/173.png,71.0
2,719582,att,home,178,SpVgg Greuther Furth,https://media.api-sports.io/football/teams/178.png,32.0
3,719582,att,away,173,RB Leipzig,https://media.api-sports.io/football/teams/173.png,68.0
4,719582,def,home,178,SpVgg Greuther Furth,https://media.api-sports.io/football/teams/178.png,33.0
5,719582,def,away,173,RB Leipzig,https://media.api-sports.io/football/teams/173.png,67.0
6,719582,poisson_distribution,home,178,SpVgg Greuther Furth,https://media.api-sports.io/football/teams/178.png,30.0
7,719582,poisson_distribution,away,173,RB Leipzig,https://media.api-sports.io/football/teams/173.png,70.0
8,719582,h2h,home,178,SpVgg Greuther Furth,https://media.api-sports.io/football/teams/178.png,7.0
9,719582,h2h,away,173,RB Leipzig,https://media.api-sports.io/football/teams/173.png,93.0
10,719582,goals,home,178,SpVgg Greuther Furth,https://media.api-sports.io/football/teams/178.png,27.0
11,719582,goals,away,173,RB Leipzig,https://media.api-sports.io/football/teams/173.png,73.0
12,719582,total,home,178,SpVgg Greuther Furth,https://media.api-sports.io/football/teams/178.png,26.3
13,719582,total,away,173,RB Leipzig,https://media.api-sports.io/football/teams/173.png,73.7
