,id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction,data,X_adj,Y_adj,team_name,opposing_team_name,team_name_base,opposing_team_name_base
234,440976,33,BlockedShot,0.8919999694824219,0.5329999923706055,0.11019806563854218,Kingsley Coman,h,226,FromCorner,2021,RightFoot,17614,Bayern Munich,Freiburg,2,1,2021-11-06 14:30:00,,Rebound,2021-11-06,107.03999633789063,42.63999938964844,Bayern Munich,Freiburg,Bayern Munich,SC Freiburg
233,440962,2,BlockedShot,0.914000015258789,0.265,0.03056279756128788,Kingsley Coman,h,226,OpenPlay,2021,RightFoot,17614,Bayern Munich,Freiburg,2,1,2021-11-06 14:30:00,Leroy Sané,Chipped,2021-11-06,109.68000183105468,21.2,Bayern Munich,Freiburg,Bayern Munich,SC Freiburg
276,440985,58,MissedShots,0.8469999694824218,0.7030000305175781,0.03404799848794937,Vincenzo Grifo,a,5266,OpenPlay,2021,RightFoot,17614,Bayern Munich,Freiburg,2,1,2021-11-06 14:30:00,Nicolas Höfler,Pass,2021-11-06,101.63999633789062,56.24000244140625,Freiburg,Bayern Munich,SC Freiburg,Bayern Munich
277,440997,78,BlockedShot,0.7630000305175781,0.3940000152587891,0.0703146904706955,Vincenzo Grifo,a,5266,DirectFreekick,2021,RightFoot,17614,Bayern Munich,Freiburg,2,1,2021-11-06 14:30:00,,Standard,2021-11-06,91.56000366210938,31.52000122070313,Freiburg,Bayern Munich,SC Freiburg,Bayern Munich
1,441020,70,ShotOnPost,0.9769999694824218,0.5790000152587891,0.04461590573191643,Andrés Andrade,a,9995,SetPiece,2021,Head,17611,VfB Stuttgart,Arminia Bielefeld,0,1,2021-11-06 14:30:00,,Rebound,2021-11-06,117.23999633789062,46.320001220703126,Arminia Bielefeld,VfB Stuttgart,Arminia Bielefeld,VfB Stuttgart
25,441015,54,BlockedShot,0.730999984741211,0.495,0.022671706974506378,Manuel Prietl,a,8789,OpenPlay,2021,LeftFoot,17611,VfB Stuttgart,Arminia Bielefeld,0,1,2021-11-06 14:30:00,Jacob Laursen,Pass,2021-11-06,87.71999816894531,39.599999999999994,Arminia Bielefeld,VfB Stuttgart,Arminia Bielefeld,VfB Stuttgart
26,441024,84,MissedShots,0.7580000305175781,0.3820000076293945,0.028592584654688835,Manuel Prietl,a,8789,OpenPlay,2021,LeftFoot,17611,VfB Stuttgart,Arminia Bielefeld,0,1,2021-11-06 14:30:00,,None,2021-11-06,90.96000366210937,30.560000610351562,Arminia Bielefeld,VfB Stuttgart,Arminia Bielefeld,VfB Stuttgart
184,441240,12,SavedShot,0.8769999694824219,0.45799999237060546,0.16556915640830994,Christopher Nkunku,h,3300,OpenPlay,2021,RightFoot,17613,RasenBallsport Leipzig,Borussia Dortmund,2,1,2021-11-06 17:30:00,Tyler Adams,TakeOn,2021-11-06,105.23999633789063,36.63999938964844,RasenBallsport Leipzig,Borussia Dortmund,RB Leipzig,Borussia Dortmund
169,441030,18,MissedShots,0.8919999694824219,0.5540000152587891,0.37273213267326355,Ihlas Bebou,a,6271,OpenPlay,2021,RightFoot,17607,Bochum,Hoffenheim,2,0,2021-11-06 14:30:00,Andrej Kramaric,Pass,2021-11-06,107.03999633789063,44.320001220703126,Hoffenheim,Bochum,1899 Hoffenheim,VfL BOCHUM
185,441242,16,BlockedShot,0.885,0.3240000152587891,0.060950975865125656,Christopher Nkunku,h,3300,OpenPlay,2021,RightFoot,17613,RasenBallsport Leipzig,Borussia Dortmund,2,1,2021-11-06 17:30:00,,BallRecovery,2021-11-06,106.2,25.920001220703128,RasenBallsport Leipzig,Borussia Dortmund,RB Leipzig,Borussia Dortmund
