,id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction,data,X_adj,Y_adj,team_name,opposing_team_name,team_name_base,opposing_team_name_base
328,425588,86,SavedShot,0.865,0.5990000152587891,0.08568271994590759,Nicolas Pepe,a,5656,OpenPlay,2021,LeftFoot,16376,Brentford,Arsenal,2,0,2021-08-13 19:00:00,Kieran Tierney,Pass,2021-08-13,103.8,47.92000122070312,Arsenal,Brentford,Arsenal,Brentford
2,425573,41,MissedShots,0.905,0.5179999923706055,0.04176729917526245,Folarin Balogun,a,9690,OpenPlay,2021,Head,16376,Brentford,Arsenal,2,0,2021-08-13 19:00:00,Kieran Tierney,Aerial,2021-08-13,108.60000000000001,41.439999389648435,Arsenal,Brentford,Arsenal,Brentford
35,425591,91,BlockedShot,0.8369999694824218,0.46299999237060546,0.03743357956409454,Reiss Nelson,a,6492,OpenPlay,2021,LeftFoot,16376,Brentford,Arsenal,2,0,2021-08-13 19:00:00,Kieran Tierney,Cross,2021-08-13,100.43999633789062,37.039999389648436,Arsenal,Brentford,Arsenal,Brentford
21,425563,1,SavedShot,0.715,0.5320000076293945,0.017222100868821144,Kieran Tierney,a,8089,FromCorner,2021,LeftFoot,16376,Brentford,Arsenal,2,0,2021-08-13 19:00:00,Nicolas Pepe,Pass,2021-08-13,85.8,42.56000061035156,Arsenal,Brentford,Arsenal,Brentford
0,425570,30,MissedShots,0.9159999847412109,0.515,0.09649531543254852,Folarin Balogun,a,9690,OpenPlay,2021,RightFoot,16376,Brentford,Arsenal,2,0,2021-08-13 19:00:00,,BallTouch,2021-08-13,109.91999816894531,41.2,Arsenal,Brentford,Arsenal,Brentford
256,425587,85,MissedShots,0.7480000305175781,0.42900001525878906,0.01880781352519989,Granit Xhaka,a,204,OpenPlay,2021,LeftFoot,16376,Brentford,Arsenal,2,0,2021-08-13 19:00:00,Albert Sambi Lokonga,Pass,2021-08-13,89.76000366210937,34.32000122070312,Arsenal,Brentford,Arsenal,Brentford
255,425581,69,MissedShots,0.8880000305175781,0.634000015258789,0.05556105077266693,Granit Xhaka,a,204,OpenPlay,2021,LeftFoot,16376,Brentford,Arsenal,2,0,2021-08-13 19:00:00,Calum Chambers,Cross,2021-08-13,106.56000366210938,50.720001220703125,Arsenal,Brentford,Arsenal,Brentford
14,425592,91,MissedShots,0.875,0.34200000762939453,0.06058930233120918,Emile Smith-Rowe,a,7230,OpenPlay,2021,RightFoot,16376,Brentford,Arsenal,2,0,2021-08-13 19:00:00,Reiss Nelson,Pass,2021-08-13,105.0,27.360000610351566,Arsenal,Brentford,Arsenal,Brentford
13,425575,50,SavedShot,0.8519999694824218,0.55,0.07191664725542068,Emile Smith-Rowe,a,7230,OpenPlay,2021,RightFoot,16376,Brentford,Arsenal,2,0,2021-08-13 19:00:00,Kieran Tierney,Pass,2021-08-13,102.23999633789063,44.00000000000001,Arsenal,Brentford,Arsenal,Brentford
2,425589,86,MissedShots,0.9530000305175781,0.40900001525878904,0.031568143516778946,Pablo Marí,a,8380,FromCorner,2021,Head,16376,Brentford,Arsenal,2,0,2021-08-13 19:00:00,Emile Smith-Rowe,Aerial,2021-08-13,114.36000366210936,32.72000122070312,Arsenal,Brentford,Arsenal,Brentford
0,425564,10,MissedShots,0.9130000305175782,0.539000015258789,0.05346401408314705,Frank Onyeka,h,9681,OpenPlay,2021,Head,16376,Brentford,Arsenal,2,0,2021-08-13 19:00:00,,Aerial,2021-08-13,109.56000366210938,43.12000122070312,Brentford,Arsenal,Brentford,Arsenal
1,425874,56,MissedShots,0.855999984741211,0.3189999961853027,0.03382989764213562,Ki-Jana Hoever,a,8351,OpenPlay,2021,RightFoot,16381,Leicester,Wolverhampton Wanderers,1,0,2021-08-14 14:00:00,Trincão,Pass,2021-08-14,102.71999816894532,25.519999694824218,Wolverhampton Wanderers,Leicester,Wolves,Leicester
185,425807,40,MissedShots,0.8930000305175781,0.4209999847412109,0.04790227860212326,Neal Maupay,a,3621,OpenPlay,2021,Head,16378,Burnley,Brighton,1,2,2021-08-14 14:00:00,Solly March,Cross,2021-08-14,107.16000366210938,33.679998779296874,Brighton,Burnley,Brighton,Burnley
186,425808,46,BlockedShot,0.909000015258789,0.38799999237060545,0.07046572118997574,Neal Maupay,a,3621,OpenPlay,2021,RightFoot,16378,Burnley,Brighton,1,2,2021-08-14 14:00:00,Steven Alzate,Cross,2021-08-14,109.08000183105469,31.039999389648436,Brighton,Burnley,Brighton,Burnley
187,425816,72,Goal,0.9580000305175781,0.5120000076293946,0.6447369456291199,Neal Maupay,a,3621,OpenPlay,2021,RightFoot,16378,Burnley,Brighton,1,2,2021-08-14 14:00:00,Jakub Moder,Pass,2021-08-14,114.96000366210937,40.960000610351564,Brighton,Burnley,Brighton,Burnley
114,426001,69,MissedShots,0.7780000305175782,0.3820000076293945,0.023354677483439445,Lukas Rupp,h,62,OpenPlay,2021,RightFoot,16383,Norwich,Liverpool,0,3,2021-08-14 16:30:00,Milot Rashica,Pass,2021-08-14,93.36000366210938,30.560000610351562,Norwich,Liverpool,Norwich,Liverpool
113,425990,44,BlockedShot,0.8959999847412109,0.565,0.026903538033366203,Lukas Rupp,h,62,OpenPlay,2021,Head,16383,Norwich,Liverpool,0,3,2021-08-14 16:30:00,Milot Rashica,Aerial,2021-08-14,107.5199981689453,45.199999999999996,Norwich,Liverpool,Norwich,Liverpool
36,425635,8,MissedShots,0.81,0.48700000762939455,0.04164135828614235,Mateusz Klich,a,4381,FromCorner,2021,RightFoot,16377,Manchester United,Leeds,5,1,2021-08-14 11:30:00,Jack Harrison,Pass,2021-08-14,97.20000000000002,38.960000610351564,Leeds,Manchester United,Leeds,Manchester United
272,425856,80,Goal,0.9590000152587891,0.4490000152587891,0.5519211292266846,Dominic Calvert-Lewin,h,5555,OpenPlay,2021,Head,16380,Everton,Southampton,3,1,2021-08-14 14:00:00,Richarlison,Cross,2021-08-14,115.08000183105469,35.92000122070313,Everton,Southampton,Everton,Southampton
37,425640,15,SavedShot,0.7559999847412109,0.605999984741211,0.016877274960279465,Mateusz Klich,a,4381,OpenPlay,2021,RightFoot,16377,Manchester United,Leeds,5,1,2021-08-14 11:30:00,Jack Harrison,TakeOn,2021-08-14,90.71999816894531,48.47999877929688,Leeds,Manchester United,Leeds,Manchester United
112,425981,19,MissedShots,0.7290000152587891,0.6309999847412109,0.013681532815098763,Lukas Rupp,h,62,FromCorner,2021,RightFoot,16383,Norwich,Liverpool,0,3,2021-08-14 16:30:00,,None,2021-08-14,87.4800018310547,50.479998779296864,Norwich,Liverpool,Norwich,Liverpool
211,425824,9,SavedShot,0.8959999847412109,0.580999984741211,0.0477067306637764,Christian Pulisic,h,2662,OpenPlay,2021,Head,16379,Chelsea,Crystal Palace,3,0,2021-08-14 14:00:00,Marcos Alonso,Cross,2021-08-14,107.5199981689453,46.47999877929688,Chelsea,Crystal Palace,Chelsea,Crystal Palace
112,425849,50,BlockedShot,0.9069999694824219,0.5970000076293945,0.07966297119855881,Michael Keane,h,1653,OpenPlay,2021,LeftFoot,16380,Everton,Southampton,3,1,2021-08-14 14:00:00,Lucas Digne,Cross,2021-08-14,108.83999633789062,47.76000061035157,Everton,Southampton,Everton,Southampton
254,425892,31,MissedShots,0.8159999847412109,0.629000015258789,0.0800730288028717,Juraj Kucka,h,1123,OpenPlay,2021,RightFoot,16382,Watford,Aston Villa,3,2,2021-08-14 14:00:00,Emmanuel Dennis,LayOff,2021-08-14,97.9199981689453,50.32000122070311,Watford,Aston Villa,Watford,Aston Villa
273,425857,84,MissedShots,0.8480000305175781,0.610999984741211,0.0942600816488266,Dominic Calvert-Lewin,h,5555,OpenPlay,2021,RightFoot,16380,Everton,Southampton,3,1,2021-08-14 14:00:00,Lucas Digne,Pass,2021-08-14,101.76000366210938,48.879998779296876,Everton,Southampton,Everton,Southampton
9,426005,86,BlockedShot,0.9169999694824219,0.514000015258789,0.13325859606266022,Grant Hanley,h,7690,SetPiece,2021,LeftFoot,16383,Norwich,Liverpool,0,3,2021-08-14 16:30:00,,Rebound,2021-08-14,110.03999633789063,41.12000122070312,Norwich,Liverpool,Norwich,Liverpool
